work_year,experience_level,employment_type,job_title,salary,salary_currency,salary_in_usd,employee_residence,remote_ratio,company_location,company_size
2023,MI,FT,Insight Analyst,40000,EUR,43187,Portugal,Fully Remote,Portugal,M
2023,EN,FT,Data Analyst,80800,USD,80800,United States,No Remote Work,United States,M
2023,EN,FT,Data Analyst,53800,USD,53800,United States,No Remote Work,United States,M
2023,MI,FT,Business Intelligence Analyst,150000,USD,150000,United States,No Remote Work,United States,M
2023,MI,FT,Business Intelligence Analyst,125000,USD,125000,United States,No Remote Work,United States,M
2023,SE,FT,Data Scientist,210000,USD,210000,United States,Fully Remote,United States,M
2023,SE,FT,Data Scientist,180000,USD,180000,United States,Fully Remote,United States,M
2023,SE,FT,Data Engineer,210000,USD,210000,United States,No Remote Work,United States,M
2023,SE,FT,Data Engineer,155000,USD,155000,United States,No Remote Work,United States,M
2023,SE,FT,Data Scientist,169500,USD,169500,United States,Fully Remote,United States,M
2023,SE,FT,Data Scientist,138000,USD,138000,United States,Fully Remote,United States,M
2023,SE,FT,Data Engineer,226700,USD,226700,United States,No Remote Work,United States,M
2023,SE,FT,Data Engineer,133300,USD,133300,United States,No Remote Work,United States,M
2023,SE,FT,Research Scientist,278700,USD,278700,United States,No Remote Work,United States,M
2023,SE,FT,Research Scientist,159300,USD,159300,United States,No Remote Work,United States,M
2023,MI,FT,AI Engineer,180000,USD,180000,United States,No Remote Work,United States,M
2023,MI,FT,AI Engineer,120000,USD,120000,United States,No Remote Work,United States,M
2023,SE,FT,Business Intelligence Engineer,125000,USD,125000,United States,Fully Remote,United States,M
2023,SE,FT,Business Intelligence Engineer,115000,USD,115000,United States,Fully Remote,United States,M
2023,SE,FT,Data Science Manager,297300,USD,297300,United States,Fully Remote,United States,M
2023,SE,FT,Data Science Manager,198200,USD,198200,United States,Fully Remote,United States,M
2023,SE,FT,Data Scientist,204500,USD,204500,United States,No Remote Work,United States,M
2023,SE,FT,Data Scientist,138900,USD,138900,United States,No Remote Work,United States,M
2023,SE,FT,Data Manager,110400,USD,110400,United States,No Remote Work,United States,M
2023,SE,FT,Data Manager,68000,USD,68000,United States,No Remote Work,United States,M
2023,MI,FT,Data Scientist,260600,USD,260600,United States,No Remote Work,United States,M
2023,MI,FT,Data Scientist,170500,USD,170500,United States,No Remote Work,United States,M
2023,EN,FT,Data Integration Specialist,63750,USD,63750,United States,Fully Remote,United States,M
2023,EN,FT,Data Integration Specialist,46400,USD,46400,United States,Fully Remote,United States,M
2023,SE,FT,Data Scientist,214872,USD,214872,United States,Fully Remote,United States,M
2023,SE,FT,Data Scientist,186846,USD,186846,United States,Fully Remote,United States,M
2023,MI,FT,Data Analyst,95000,USD,95000,United States,No Remote Work,United States,M
2023,MI,FT,Data Analyst,70600,USD,70600,United States,No Remote Work,United States,M
2023,MI,FT,Data Analyst,149500,USD,149500,United States,Fully Remote,United States,M
2023,MI,FT,Data Analyst,127075,USD,127075,United States,Fully Remote,United States,M
2023,SE,FT,Data Engineer,162000,USD,162000,United States,Fully Remote,United States,M
2023,SE,FT,Data Engineer,111000,USD,111000,United States,Fully Remote,United States,M
2023,SE,FT,Machine Learning Scientist,280000,USD,280000,United States,Fully Remote,United States,M
